datetime,datetime_id,aqi_epa_calc,pm2_5_nowcast,pm10_nowcast,co_ppm_8hr_avg,no2_ppb,so2_ppb,pm2_5_nowcast_lag_1h,pm10_nowcast_lag_1h,co_ppm_8hr_avg_lag_1h,no2_ppb_lag_1h,pm2_5_pm10_ratio,traffic_index,hour,is_rush_hour,is_weekend,season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,pm2_5_nowcast_ma_6h,pm10_nowcast_ma_6h,no2_ppb_ma_6h
2025-09-26 04:00:00,1758859200,28,6.650588522588523,25.784332112332113,0.0808013142627633,0.026572909760789475,0.04198014547497892,6.691450549450549,25.859474969474967,0.08092679400214209,0.026572909760789475,0.25793138614622807,0.048264271561579,4,0,0,3,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,6.8837150997151,26.584293447293447,0.029230200736873158
2025-09-26 05:00:00,1758862800,28,6.645169719169719,25.806761904761906,0.08066274098536236,0.026572909760789475,0.04198014547497892,6.650588522588523,25.784332112332113,0.0808013142627633,0.026572909760789475,0.2574972305201739,0.04820884225061863,5,0,0,3,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,6.791738705738705,26.24517094017094,0.028344437078180174
2025-09-26 06:00:00,1758866400,28,6.707487179487179,26.138068376068375,0.08051762093895036,0.026572909760789475,0.04198014547497892,6.645169719169719,25.806761904761906,0.08066274098536236,0.026572909760789475,0.25661755425004756,0.04815079423205383,6,0,0,3,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,6.732414326414326,26.058073667073668,0.027458673419487194
2025-09-26 07:00:00,1758870000,28,6.823672771672772,26.713824175824175,0.08037468314887539,0.026572909760789475,0.04198014547497892,6.707487179487179,26.138068376068375,0.08051762093895036,0.026572909760789475,0.25543601420601353,0.04809361911602384,7,1,0,3,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,6.716924704924705,26.072029304029304,0.026572909760789475
2025-09-26 08:00:00,1758873600,29,6.936786324786325,27.236774114774114,0.08024593002499106,0.031887491712947365,0.04198014547497892,6.823672771672772,26.713824175824175,0.08037468314887539,0.026572909760789475,0.25468457812056333,0.051230867037764846,8,1,0,3,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,6.7425258445258445,26.25653927553927,0.027458673419487194
2025-09-26 09:00:00,1758877200,29,7.033367521367521,27.718358974358974,0.08013572607997144,0.026572909760789475,0.04198014547497892,6.936786324786325,27.236774114774114,0.08024593002499106,0.031887491712947365,0.2537440087226584,0.04799803628846226,9,1,0,3,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,6.799512006512007,26.56635327635328,0.027458673419487194
2025-09-26 10:00:00,1758880800,30,7.1166837606837605,28.249289377289376,0.08004188905747947,0.026572909760789475,0.03816376861361721,7.033367521367521,27.718358974358974,0.08013572607997144,0.026572909760789475,0.2519243463308185,0.04796050147946548,10,0,0,3,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,6.877194546194546,26.977179487179487,0.027458673419487194
2025-09-26 11:00:00,1758884400,30,7.1983663003663,28.804884004884006,0.07998187700821134,0.02125832780863158,0.03816376861361721,7.1166837606837605,28.249289377289376,0.08004188905747947,0.026572909760789475,0.2499008952490759,0.04474774748846348,11,0,0,3,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,6.9693939763939765,27.476866503866503,0.02657290976079421
2025-09-26 12:00:00,1758888000,30,7.2542295482295485,29.247809523809522,0.07994041413780792,0.015943745856473682,0.03816376861361721,7.1983663003663,28.804884004884006,0.07998187700821134,0.02125832780863158,0.24802642202398636,0.04154241316900738,12,0,0,3,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,7.060517704517704,27.995156695156695,0.024801382443408248
2025-09-26 13:00:00,1758891600,30,7.29218315018315,29.604388278388278,0.07989895126740448,0.015943745856473682,0.034347391752255485,7.2542295482295485,29.247809523809522,0.07994041413780792,0.015943745856473682,0.24632102111383844,0.041525828020846006,13,0,0,3,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,7.138602767602767,28.476917378917378,0.02302985512602228
